,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
584,0.00017881393432617188,2.6226043701171875e-06,1.52587890625e-05,True,6000,62353
585,0.00020432472229003906,3.5762786865234375e-06,1.5020370483398438e-05,False,6000,73061
586,9.870529174804688e-05,3.337860107421875e-06,1.0728836059570312e-05,True,6000,34052
587,0.0001590251922607422,3.0994415283203125e-06,1.430511474609375e-05,False,6000,56780
588,8.678436279296875e-05,3.337860107421875e-06,1.1444091796875e-05,True,6000,30668
589,0.00023555755615234375,3.0994415283203125e-06,1.71661376953125e-05,False,6000,80984
590,0.00011849403381347656,3.0994415283203125e-06,1.1920928955078125e-05,True,6000,43169
591,0.0002753734588623047,3.0994415283203125e-06,2.1219253540039062e-05,False,6000,99803
592,0.00010585784912109375,3.0994415283203125e-06,1.0013580322265625e-05,True,6000,38476
593,9.059906005859375e-06,3.0994415283203125e-06,3.814697265625e-06,False,6000,2948
594,1.71661376953125e-05,3.0994415283203125e-06,5.4836273193359375e-06,True,6000,5663
595,7.390975952148438e-05,3.0994415283203125e-06,8.344650268554688e-06,False,6000,25226
596,7.081031799316406e-05,3.337860107421875e-06,7.867813110351562e-06,True,6000,23783
597,5.412101745605469e-05,2.86102294921875e-06,7.3909759521484375e-06,False,6000,18767
598,5.173683166503906e-05,3.337860107421875e-06,6.198883056640625e-06,True,6000,17943
599,0.0002295970916748047,2.86102294921875e-06,1.71661376953125e-05,False,6000,82763
600,0.00024366378784179688,3.337860107421875e-06,1.8358230590820312e-05,True,7000,70950
601,0.00029754638671875,3.337860107421875e-06,2.2411346435546875e-05,False,7000,91532
602,0.0001308917999267578,3.0994415283203125e-06,1.1444091796875e-05,True,7000,40371
603,9.703636169433594e-05,3.0994415283203125e-06,8.821487426757812e-06,False,7000,28967
604,6.985664367675781e-05,3.0994415283203125e-06,6.9141387939453125e-06,True,7000,20026
605,7.390975952148438e-05,3.0994415283203125e-06,6.9141387939453125e-06,False,7000,21767
606,0.000156402587890625,3.0994415283203125e-06,1.3589859008789062e-05,True,7000,46051
607,0.00014328956604003906,3.337860107421875e-06,1.1682510375976562e-05,False,7000,42872
608,0.00021767616271972656,3.0994415283203125e-06,1.5974044799804688e-05,True,7000,67572
